iter	Passed	Remaining
841	28478	140633
842	28512	140601
843	28541	140541
844	28571	140492
845	28602	140443
846	28631	140387
847	28660	140327
848	28690	140274
849	28720	140224
850	28745	140148
851	28771	140074
852	28797	140005
853	28829	139962
854	28858	139906
855	28907	139942
856	28938	139895
857	28971	139858
858	29002	139813
859	29027	139738
860	29058	139690
861	29088	139640
862	29120	139596
863	29152	139554
864	29184	139509
865	29212	139452
866	29241	139394
867	29272	139345
868	29306	139315
869	29335	139257
870	29367	139216
871	29398	139171
872	29430	139130
873	29461	139082
874	29490	139025
875	29521	138979
876	29554	138944
877	29581	138879
878	29613	138835
879	29640	138773
880	29667	138705
881	29694	138642
882	29722	138582
883	29756	138549
884	29794	138535
885	29822	138476
886	29857	138449
887	29889	138405
888	29918	138352
889	29949	138305
890	29982	138268
891	30013	138225
892	30044	138176
893	30075	138130
894	30104	138076
895	30131	138013
896	30160	137958
897	30190	137908
898	30225	137882
899	30256	137836
900	30291	137807
901	30321	137757
902	30349	137700
903	30379	137650
904	30411	137609
905	30442	137562
906	30473	137517
907	30506	137482
908	30540	137451
909	30571	137404
910	30601	137356
911	30627	137287
912	30657	137235
913	30681	137161
914	30715	137127
915	30751	137104
916	30803	137154
917	30842	137145
918	30879	137128
919	30916	137107
920	30949	137073
921	30984	137045
922	31015	136998
923	31046	136954
924	31077	136908
925	31105	136851
926	31133	136794
927	31161	136735
928	31192	136690
929	31221	136637
930	31260	136624
931	31291	136581
932	31317	136513
933	31349	136474
934	31380	136429
935	31411	136383
936	31440	136333
937	31472	136291
938	31503	136248
939	31537	136214
940	31591	136268
941	31621	136219
942	31652	136177
943	31683	136133
944	31712	136078
945	31743	136031
946	31776	135998
947	31802	135931
948	31832	135884
949	31857	135814
950	31892	135787
951	31922	135738
952	31954	135696
953	31986	135655
954	32015	135604
955	32044	135553
956	32072	135496
957	32104	135455
958	32130	135391
959	32161	135347
960	32192	135304
961	32222	135255
962	32249	135194
963	32280	135148
964	32310	135101
965	32337	135039
966	32366	134988
967	32400	134955
968	32429	134907
969	32462	134868
970	32494	134831
971	32526	134791
972	32554	134734
973	32583	134681
974	32610	134621
975	32637	134561
976	32672	134533
977	32705	134501
978	32737	134460
979	32768	134416
980	32797	134366
981	32828	134320
982	32857	134273
983	32889	134232
984	32920	134188
985	32949	134137
986	32982	134103
987	33011	134050
988	33043	134011
989	33075	133970
990	33102	133914
991	33129	133853
992	33160	133812
993	33191	133766
994	33216	133702
995	33247	133656
996	33279	133619
997	33308	133568
998	33342	133535
999	33373	133492
1000	33403	133447
1001	33435	133409
1002	33467	133371
1003	33496	133317
1004	33527	133275
1005	33554	133219
1006	33581	133159
1007	33606	133090
1008	33640	133062
1009	33675	133032
1010	33706	132993
1011	33743	132972
1012	33778	132946
1013	33807	132897
1014	33838	132852
1015	33870	132813
1016	33896	132751
1017	33925	132704
1018	33956	132661
1019	33989	132627
1020	34020	132583
1021	34048	132528
1022	34077	132480
1023	34105	132423
1024	34142	132405
1025	34175	132372
1026	34208	132335
1027	34234	132277
1028	34268	132244
1029	34301	132210
1030	34333	132171
1031	34364	132130
1032	34396	132091
1033	34427	132047
1034	34458	132007
1035	34488	131963
1036	34516	131908
1037	34547	131865
1038	34575	131812
1039	34605	131768
1040	34642	131746
1041	34679	131727
1042	34711	131691
1043	34744	131655
1044	34773	131605
1045	34804	131564
1046	34837	131531
1047	34869	131492
1048	34898	131443
1049	34927	131393
1050	34961	131362
1051	34990	131312
1052	35017	131256
1053	35045	131204
1054	35076	131161
1055	35109	131130
1056	35143	131099
1057	35175	131061
1058	35207	131023
1059	35239	130984
1060	35270	130942
1061	35300	130899
1062	35333	130863
1063	35366	130828
1064	35395	130781
1065	35426	130738
1066	35459	130704
1067	35488	130656
1068	35517	130605
1069	35544	130553
1070	35577	130516
1071	35606	130468
1072	35633	130411
1073	35665	130373
1074	35695	130331
1075	35725	130286
1076	35759	130255
1077	35789	130209
1078	35818	130160
1079	35849	130120
1080	35880	130078
1081	35910	130033
1082	35939	129986
1083	35968	129937
1084	35996	129887
1085	36022	129828
1086	36059	129806
